trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.6, 'e': 0.16999999999999987}",25,0,14.977774062263256,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
66,False,"{'a': 0.6, 'e': 0.16799999999999987}",25,0,-1.650799014182868,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
67,False,"{'a': 0.6, 'e': 0.16599999999999987}",20,14,10.66052931891615,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.6, 'e': 0.16399999999999987}",20,3,19.382288616500073,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.6, 'e': 0.16199999999999987}",30,0,42.57016161991262,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.6, 'e': 0.15999999999999986}",30,0,38.96219253113204,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.6, 'e': 0.15799999999999986}",20,11,18.638398163089224,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.6, 'e': 0.15599999999999986}",20,8,6.987053767720005,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.6, 'e': 0.15399999999999986}",20,16,6.947400181121301,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.6, 'e': 0.15199999999999986}",20,9,21.022593684451735,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.6, 'e': 0.14999999999999986}",20,0,14.813324926689235,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.6, 'e': 0.14799999999999985}",20,0,-4.408575254938498,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
77,False,"{'a': 0.6, 'e': 0.14599999999999985}",20,5,18.40886327785569,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.6, 'e': 0.14399999999999985}",20,0,-102.13798283063421,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",1
79,False,"{'a': 0.6, 'e': 0.14199999999999985}",25,5,11.612304134388546,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
80,False,"{'a': 0.6, 'e': 0.13999999999999985}",20,9,9.525363140280064,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.6, 'e': 0.13799999999999985}",20,12,16.985428325034537,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.6, 'e': 0.13599999999999984}",20,6,28.147870788614657,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.6, 'e': 0.13399999999999984}",25,17,14.375840725196973,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.6, 'e': 0.13199999999999984}",20,12,11.539348896484343,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.6, 'e': 0.12999999999999984}",25,0,4.628576924631688,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
86,False,"{'a': 0.6, 'e': 0.12799999999999984}",20,12,17.08069563161411,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.6, 'e': 0.12599999999999983}",20,5,23.897580059787074,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.6, 'e': 0.12399999999999983}",25,2,36.12887161849518,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.6, 'e': 0.12199999999999983}",20,16,10.549440194887195,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.6, 'e': 0.11999999999999983}",25,0,7.476601431429411,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.6, 'e': 0.11799999999999983}",20,5,11.620481405100492,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.6, 'e': 0.11599999999999983}",20,0,32.199131454238405,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.6, 'e': 0.11399999999999982}",20,9,16.682054689971107,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.6, 'e': 0.11199999999999982}",25,11,-14.224325594112939,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.6, 'e': 0.10999999999999982}",20,6,9.986745671268958,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.6, 'e': 0.10799999999999982}",30,12,-49.877504885725365,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
97,False,"{'a': 0.6, 'e': 0.10599999999999982}",20,9,12.945116280498556,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.6, 'e': 0.10399999999999981}",30,15,30.52253273739813,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.6, 'e': 0.10199999999999981}",20,12,15.442073462123595,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.6, 'e': 0.09999999999999981}",25,9,26.645320456590095,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.6, 'e': 0.09799999999999981}",25,14,23.3130698232387,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.6, 'e': 0.09599999999999981}",35,8,46.91660340563999,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.6, 'e': 0.0939999999999998}",20,0,2.1151680457031525,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
